Date	CO_ID	CoName	ROI
2014-01-02	TWN50  	TW 50 INDEX  	  -0.3534
2014-01-03	TWN50  	TW 50 INDEX  	  -1.1200
2014-01-06	TWN50  	TW 50 INDEX  	  -0.5494
2014-01-07	TWN50  	TW 50 INDEX  	  -0.2469
2014-01-08	TWN50  	TW 50 INDEX  	   0.5209
2014-01-09	TWN50  	TW 50 INDEX  	  -0.5343
2014-01-10	TWN50  	TW 50 INDEX  	   0.1974
2014-01-13	TWN50  	TW 50 INDEX  	   0.6862
2014-01-14	TWN50  	TW 50 INDEX  	  -0.1150
2014-01-15	TWN50  	TW 50 INDEX  	   0.9111
2014-01-16	TWN50  	TW 50 INDEX  	   0.4080
2014-01-17	TWN50  	TW 50 INDEX  	  -0.1552
2014-01-20	TWN50  	TW 50 INDEX  	   0.3795
2014-01-21	TWN50  	TW 50 INDEX  	  -0.5593
2014-01-22	TWN50  	TW 50 INDEX  	   0.5123
2014-01-23	TWN50  	TW 50 INDEX  	  -0.3926
2014-01-24	TWN50  	TW 50 INDEX  	   0.2925
2014-01-27	TWN50  	TW 50 INDEX  	  -1.8321
2014-02-05	TWN50  	TW 50 INDEX  	  -3.3263
2014-02-06	TWN50  	TW 50 INDEX  	   0.6113
2014-02-07	TWN50  	TW 50 INDEX  	   1.1184
2014-02-10	TWN50  	TW 50 INDEX  	  -0.0733
2014-02-11	TWN50  	TW 50 INDEX  	   0.5707
2014-02-12	TWN50  	TW 50 INDEX  	   1.1937
2014-02-13	TWN50  	TW 50 INDEX  	  -0.4860
2014-02-14	TWN50  	TW 50 INDEX  	   1.0575
2014-02-17	TWN50  	TW 50 INDEX  	   0.0927
2014-02-18	TWN50  	TW 50 INDEX  	   0.3829
2014-02-19	TWN50  	TW 50 INDEX  	   0.1904
2014-02-20	TWN50  	TW 50 INDEX  	  -0.9321
2014-02-21	TWN50  	TW 50 INDEX  	   1.0456
2014-02-24	TWN50  	TW 50 INDEX  	  -0.7143
2014-02-25	TWN50  	TW 50 INDEX  	   0.2576
2014-02-26	TWN50  	TW 50 INDEX  	   0.1910
2014-02-27	TWN50  	TW 50 INDEX  	   0.3652
2014-03-03	TWN50  	TW 50 INDEX  	  -0.5605
2014-03-04	TWN50  	TW 50 INDEX  	  -0.7061
2014-03-05	TWN50  	TW 50 INDEX  	   1.0820
2014-03-06	TWN50  	TW 50 INDEX  	   1.3743
2014-03-07	TWN50  	TW 50 INDEX  	   0.6063
2014-03-10	TWN50  	TW 50 INDEX  	  -0.7691
2014-03-11	TWN50  	TW 50 INDEX  	   0.4480
2014-03-12	TWN50  	TW 50 INDEX  	  -0.3158
2014-03-13	TWN50  	TW 50 INDEX  	   1.1767
2014-03-14	TWN50  	TW 50 INDEX  	  -0.8187
2014-03-17	TWN50  	TW 50 INDEX  	  -0.1216
2014-03-18	TWN50  	TW 50 INDEX  	   0.3846
2014-03-19	TWN50  	TW 50 INDEX  	  -0.4743
2014-03-20	TWN50  	TW 50 INDEX  	  -1.1977
2014-03-21	TWN50  	TW 50 INDEX  	  -0.2143
2014-03-24	TWN50  	TW 50 INDEX  	   0.6149
2014-03-25	TWN50  	TW 50 INDEX  	   0.8670
2014-03-26	TWN50  	TW 50 INDEX  	   0.6668
2014-03-27	TWN50  	TW 50 INDEX  	   0.5616
2014-03-28	TWN50  	TW 50 INDEX  	   0.3689
2014-03-31	TWN50  	TW 50 INDEX  	   0.6536
2014-04-01	TWN50  	TW 50 INDEX  	   0.4218
2014-04-02	TWN50  	TW 50 INDEX  	   0.3370
2014-04-03	TWN50  	TW 50 INDEX  	  -0.4491
2014-04-07	TWN50  	TW 50 INDEX  	  -0.1829
2014-04-08	TWN50  	TW 50 INDEX  	   0.3857
2014-04-09	TWN50  	TW 50 INDEX  	   0.3929
2014-04-10	TWN50  	TW 50 INDEX  	   0.5572
2014-04-11	TWN50  	TW 50 INDEX  	  -0.2041
2014-04-14	TWN50  	TW 50 INDEX  	  -0.2546
2014-04-15	TWN50  	TW 50 INDEX  	   0.6152
2014-04-16	TWN50  	TW 50 INDEX  	  -0.3314
2014-04-17	TWN50  	TW 50 INDEX  	   0.1419
2014-04-18	TWN50  	TW 50 INDEX  	   0.6495
2014-04-21	TWN50  	TW 50 INDEX  	  -0.2561
2014-04-22	TWN50  	TW 50 INDEX  	   0.2602
2014-04-23	TWN50  	TW 50 INDEX  	  -0.0574
2014-04-24	TWN50  	TW 50 INDEX  	   0.1222
2014-04-25	TWN50  	TW 50 INDEX  	  -1.5708
2014-04-28	TWN50  	TW 50 INDEX  	   0.6174
2014-04-29	TWN50  	TW 50 INDEX  	   0.5129
2014-04-30	TWN50  	TW 50 INDEX  	  -0.9595
2014-05-02	TWN50  	TW 50 INDEX  	   0.8388
2014-05-05	TWN50  	TW 50 INDEX  	  -0.1008
2014-05-06	TWN50  	TW 50 INDEX  	   0.5883
2014-05-07	TWN50  	TW 50 INDEX  	  -0.1756
2014-05-08	TWN50  	TW 50 INDEX  	   0.3701
2014-05-09	TWN50  	TW 50 INDEX  	  -0.2647
2014-05-12	TWN50  	TW 50 INDEX  	  -1.0546
2014-05-13	TWN50  	TW 50 INDEX  	   0.4989
2014-05-14	TWN50  	TW 50 INDEX  	   0.9640
2014-05-15	TWN50  	TW 50 INDEX  	   0.0027
2014-05-16	TWN50  	TW 50 INDEX  	   0.1376
2014-05-19	TWN50  	TW 50 INDEX  	  -0.0187
2014-05-20	TWN50  	TW 50 INDEX  	  -0.0754
2014-05-21	TWN50  	TW 50 INDEX  	  -0.3266
2014-05-22	TWN50  	TW 50 INDEX  	   1.4063
2014-05-23	TWN50  	TW 50 INDEX  	   0.4332
2014-05-26	TWN50  	TW 50 INDEX  	   0.1760
2014-05-27	TWN50  	TW 50 INDEX  	   0.3777
2014-05-28	TWN50  	TW 50 INDEX  	   0.7735
2014-05-29	TWN50  	TW 50 INDEX  	  -0.3890
2014-05-30	TWN50  	TW 50 INDEX  	  -0.8533
2014-06-03	TWN50  	TW 50 INDEX  	   0.9043
2014-06-04	TWN50  	TW 50 INDEX  	  -0.0242
2014-06-05	TWN50  	TW 50 INDEX  	   0.1627
2014-06-06	TWN50  	TW 50 INDEX  	  -0.0322
2014-06-09	TWN50  	TW 50 INDEX  	   0.3504
2014-06-10	TWN50  	TW 50 INDEX  	   0.9328
2014-06-11	TWN50  	TW 50 INDEX  	  -0.0098
2014-06-12	TWN50  	TW 50 INDEX  	  -0.5787
2014-06-13	TWN50  	TW 50 INDEX  	  -0.2426
2014-06-16	TWN50  	TW 50 INDEX  	   0.0044
2014-06-17	TWN50  	TW 50 INDEX  	   0.6663
2014-06-18	TWN50  	TW 50 INDEX  	   0.5289
2014-06-19	TWN50  	TW 50 INDEX  	   0.5346
2014-06-20	TWN50  	TW 50 INDEX  	  -0.5764
2014-06-23	TWN50  	TW 50 INDEX  	   0.0153
2014-06-24	TWN50  	TW 50 INDEX  	   0.0459
2014-06-25	TWN50  	TW 50 INDEX  	  -0.1507
2014-06-26	TWN50  	TW 50 INDEX  	   1.0108
2014-06-27	TWN50  	TW 50 INDEX  	  -0.1469
2014-06-30	TWN50  	TW 50 INDEX  	   1.0726
2014-07-01	TWN50  	TW 50 INDEX  	   0.7354
2014-07-02	TWN50  	TW 50 INDEX  	   1.1854
2014-07-03	TWN50  	TW 50 INDEX  	   0.5262
2014-07-04	TWN50  	TW 50 INDEX  	  -0.1516
2014-07-07	TWN50  	TW 50 INDEX  	   0.3272
2014-07-08	TWN50  	TW 50 INDEX  	  -0.0952
2014-07-09	TWN50  	TW 50 INDEX  	  -0.3911
2014-07-10	TWN50  	TW 50 INDEX  	   0.8867
2014-07-11	TWN50  	TW 50 INDEX  	  -0.1702
2014-07-14	TWN50  	TW 50 INDEX  	  -0.1080
2014-07-15	TWN50  	TW 50 INDEX  	   0.6711
2014-07-16	TWN50  	TW 50 INDEX  	  -1.1004
2014-07-17	TWN50  	TW 50 INDEX  	  -1.3841
2014-07-18	TWN50  	TW 50 INDEX  	  -0.0664
2014-07-21	TWN50  	TW 50 INDEX  	   0.5827
2014-07-22	TWN50  	TW 50 INDEX  	   0.6218
2014-07-24	TWN50  	TW 50 INDEX  	   0.2754
2014-07-25	TWN50  	TW 50 INDEX  	  -1.1699
2014-07-28	TWN50  	TW 50 INDEX  	  -0.3799
2014-07-29	TWN50  	TW 50 INDEX  	   0.1085
2014-07-30	TWN50  	TW 50 INDEX  	   0.5240
2014-07-31	TWN50  	TW 50 INDEX  	  -2.1111
2014-08-01	TWN50  	TW 50 INDEX  	  -0.6181
2014-08-04	TWN50  	TW 50 INDEX  	   1.1083
2014-08-05	TWN50  	TW 50 INDEX  	  -2.4904
2014-08-06	TWN50  	TW 50 INDEX  	   0.8327
2014-08-07	TWN50  	TW 50 INDEX  	   0.1214
2014-08-08	TWN50  	TW 50 INDEX  	  -0.4536
2014-08-11	TWN50  	TW 50 INDEX  	   0.7773
2014-08-12	TWN50  	TW 50 INDEX  	   0.1657
2014-08-13	TWN50  	TW 50 INDEX  	   0.8312
2014-08-14	TWN50  	TW 50 INDEX  	   0.4896
2014-08-15	TWN50  	TW 50 INDEX  	  -0.2029
2014-08-18	TWN50  	TW 50 INDEX  	  -0.5008
2014-08-19	TWN50  	TW 50 INDEX  	   1.1748
2014-08-20	TWN50  	TW 50 INDEX  	   0.8446
2014-08-21	TWN50  	TW 50 INDEX  	  -0.2827
2014-08-22	TWN50  	TW 50 INDEX  	   1.2273
2014-08-25	TWN50  	TW 50 INDEX  	  -0.1350
2014-08-26	TWN50  	TW 50 INDEX  	  -0.1261
2014-08-27	TWN50  	TW 50 INDEX  	   1.0316
2014-08-28	TWN50  	TW 50 INDEX  	  -0.0500
2014-08-29	TWN50  	TW 50 INDEX  	  -0.7793
2014-09-01	TWN50  	TW 50 INDEX  	   1.3396
2014-09-02	TWN50  	TW 50 INDEX  	  -1.3292
2014-09-03	TWN50  	TW 50 INDEX  	   0.8824
2014-09-04	TWN50  	TW 50 INDEX  	  -0.3044
2014-09-05	TWN50  	TW 50 INDEX  	  -0.3917
2014-09-09	TWN50  	TW 50 INDEX  	   0.3621
2014-09-10	TWN50  	TW 50 INDEX  	  -1.0099
2014-09-11	TWN50  	TW 50 INDEX  	  -0.3482
2014-09-12	TWN50  	TW 50 INDEX  	  -1.1828
2014-09-15	TWN50  	TW 50 INDEX  	   0.1612
2014-09-16	TWN50  	TW 50 INDEX  	  -1.0689
2014-09-17	TWN50  	TW 50 INDEX  	   0.9678
2014-09-18	TWN50  	TW 50 INDEX  	   0.4110
2014-09-19	TWN50  	TW 50 INDEX  	  -0.2039
2014-09-22	TWN50  	TW 50 INDEX  	  -1.3459
2014-09-23	TWN50  	TW 50 INDEX  	  -0.5800
2014-09-24	TWN50  	TW 50 INDEX  	  -0.0093
2014-09-25	TWN50  	TW 50 INDEX  	  -0.8230
2014-09-26	TWN50  	TW 50 INDEX  	  -0.3029
2014-09-29	TWN50  	TW 50 INDEX  	  -0.4745
2014-09-30	TWN50  	TW 50 INDEX  	  -0.0649
2014-10-01	TWN50  	TW 50 INDEX  	   0.3996
2014-10-02	TWN50  	TW 50 INDEX  	  -0.2705
2014-10-03	TWN50  	TW 50 INDEX  	   1.9044
2014-10-06	TWN50  	TW 50 INDEX  	  -0.0758
2014-10-07	TWN50  	TW 50 INDEX  	  -0.5168
2014-10-08	TWN50  	TW 50 INDEX  	  -1.1522
2014-10-09	TWN50  	TW 50 INDEX  	   0.5329
2014-10-13	TWN50  	TW 50 INDEX  	  -2.7103
2014-10-14	TWN50  	TW 50 INDEX  	   0.9016
2014-10-15	TWN50  	TW 50 INDEX  	  -0.9391
2014-10-16	TWN50  	TW 50 INDEX  	  -0.2275
2014-10-17	TWN50  	TW 50 INDEX  	  -1.1937
2014-10-20	TWN50  	TW 50 INDEX  	   2.0193
2014-10-21	TWN50  	TW 50 INDEX  	  -0.1368
2014-10-22	TWN50  	TW 50 INDEX  	   1.3415
2014-10-23	TWN50  	TW 50 INDEX  	  -0.1467
2014-10-24	TWN50  	TW 50 INDEX  	  -0.9230
2014-10-27	TWN50  	TW 50 INDEX  	   0.5699
2014-10-28	TWN50  	TW 50 INDEX  	   1.4464
2014-10-29	TWN50  	TW 50 INDEX  	   1.2249
2014-10-30	TWN50  	TW 50 INDEX  	  -0.2620
2014-10-31	TWN50  	TW 50 INDEX  	   0.9882
2014-11-03	TWN50  	TW 50 INDEX  	   0.3886
2014-11-04	TWN50  	TW 50 INDEX  	  -0.0886
2014-11-05	TWN50  	TW 50 INDEX  	  -0.3678
2014-11-06	TWN50  	TW 50 INDEX  	  -0.6389
2014-11-07	TWN50  	TW 50 INDEX  	  -0.0203
2014-11-10	TWN50  	TW 50 INDEX  	   1.9407
2014-11-11	TWN50  	TW 50 INDEX  	  -0.3375
2014-11-12	TWN50  	TW 50 INDEX  	  -1.3962
2014-11-13	TWN50  	TW 50 INDEX  	   0.9495
2014-11-14	TWN50  	TW 50 INDEX  	  -0.0024
2014-11-17	TWN50  	TW 50 INDEX  	  -1.1354
2014-11-18	TWN50  	TW 50 INDEX  	  -0.1110
2014-11-19	TWN50  	TW 50 INDEX  	   1.5694
2014-11-20	TWN50  	TW 50 INDEX  	   1.3085
2014-11-21	TWN50  	TW 50 INDEX  	   0.0105
2014-11-24	TWN50  	TW 50 INDEX  	   0.3360
2014-11-25	TWN50  	TW 50 INDEX  	  -0.1359
2014-11-26	TWN50  	TW 50 INDEX  	   0.1421
2014-11-27	TWN50  	TW 50 INDEX  	   0.6050
2014-11-28	TWN50  	TW 50 INDEX  	   0.3453
2014-12-01	TWN50  	TW 50 INDEX  	  -1.1406
2014-12-02	TWN50  	TW 50 INDEX  	  -1.5378
2014-12-03	TWN50  	TW 50 INDEX  	   1.5355
2014-12-04	TWN50  	TW 50 INDEX  	   0.6414
2014-12-05	TWN50  	TW 50 INDEX  	  -0.6242
2014-12-08	TWN50  	TW 50 INDEX  	  -0.3553
2014-12-09	TWN50  	TW 50 INDEX  	  -0.5794
2014-12-10	TWN50  	TW 50 INDEX  	  -1.3054
2014-12-11	TWN50  	TW 50 INDEX  	  -0.3340
2014-12-12	TWN50  	TW 50 INDEX  	   0.1757
2014-12-15	TWN50  	TW 50 INDEX  	  -0.5614
2014-12-16	TWN50  	TW 50 INDEX  	  -0.7890
2014-12-17	TWN50  	TW 50 INDEX  	  -1.6113
2014-12-18	TWN50  	TW 50 INDEX  	   0.6912
2014-12-19	TWN50  	TW 50 INDEX  	   2.1699
2014-12-22	TWN50  	TW 50 INDEX  	   1.1089
2014-12-23	TWN50  	TW 50 INDEX  	  -0.1763
2014-12-24	TWN50  	TW 50 INDEX  	   1.0289
2014-12-25	TWN50  	TW 50 INDEX  	  -0.4301
2014-12-26	TWN50  	TW 50 INDEX  	   0.6670
2014-12-27	TWN50  	TW 50 INDEX  	  -0.1369
2014-12-29	TWN50  	TW 50 INDEX  	   1.0418
2014-12-30	TWN50  	TW 50 INDEX  	  -0.3268
2014-12-31	TWN50  	TW 50 INDEX  	   0.3438
2015-01-05	TWN50  	TW 50 INDEX  	  -0.5456
2015-01-06	TWN50  	TW 50 INDEX  	  -2.9667
2015-01-07	TWN50  	TW 50 INDEX  	   0.4567
2015-01-08	TWN50  	TW 50 INDEX  	   2.2147
2015-01-09	TWN50  	TW 50 INDEX  	  -0.6351
2015-01-12	TWN50  	TW 50 INDEX  	  -0.5390
2015-01-13	TWN50  	TW 50 INDEX  	   0.5608
2015-01-14	TWN50  	TW 50 INDEX  	  -0.8624
2015-01-15	TWN50  	TW 50 INDEX  	  -0.0140
2015-01-16	TWN50  	TW 50 INDEX  	   0.3188
2015-01-19	TWN50  	TW 50 INDEX  	   1.0033
2015-01-20	TWN50  	TW 50 INDEX  	   0.5803
2015-01-21	TWN50  	TW 50 INDEX  	   0.9924
2015-01-22	TWN50  	TW 50 INDEX  	   0.3031
2015-01-23	TWN50  	TW 50 INDEX  	   1.7539
2015-01-26	TWN50  	TW 50 INDEX  	   0.1688
2015-01-27	TWN50  	TW 50 INDEX  	   0.5779
2015-01-28	TWN50  	TW 50 INDEX  	  -0.1317
2015-01-29	TWN50  	TW 50 INDEX  	  -1.2143
2015-01-30	TWN50  	TW 50 INDEX  	  -0.9434
2015-02-02	TWN50  	TW 50 INDEX  	   0.6057
2015-02-03	TWN50  	TW 50 INDEX  	   0.8338
2015-02-04	TWN50  	TW 50 INDEX  	   0.8780
2015-02-05	TWN50  	TW 50 INDEX  	  -0.1020
2015-02-06	TWN50  	TW 50 INDEX  	  -0.7838
2015-02-09	TWN50  	TW 50 INDEX  	  -0.3901
2015-02-10	TWN50  	TW 50 INDEX  	  -0.4289
2015-02-11	TWN50  	TW 50 INDEX  	   1.2198
2015-02-12	TWN50  	TW 50 INDEX  	   0.4597
2015-02-13	TWN50  	TW 50 INDEX  	   0.3276
2015-02-24	TWN50  	TW 50 INDEX  	   1.1078
2015-02-25	TWN50  	TW 50 INDEX  	   0.9295
2015-02-26	TWN50  	TW 50 INDEX  	  -1.2534
2015-03-02	TWN50  	TW 50 INDEX  	  -0.4278
2015-03-03	TWN50  	TW 50 INDEX  	   0.1240
2015-03-04	TWN50  	TW 50 INDEX  	   0.2743
2015-03-05	TWN50  	TW 50 INDEX  	  -0.5278
2015-03-06	TWN50  	TW 50 INDEX  	   0.4595
2015-03-09	TWN50  	TW 50 INDEX  	  -1.2885
2015-03-10	TWN50  	TW 50 INDEX  	  -0.2670
2015-03-11	TWN50  	TW 50 INDEX  	   0.0695
2015-03-12	TWN50  	TW 50 INDEX  	   0.8457
2015-03-13	TWN50  	TW 50 INDEX  	  -0.2633
2015-03-16	TWN50  	TW 50 INDEX  	  -1.0887
2015-03-17	TWN50  	TW 50 INDEX  	   0.5897
2015-03-18	TWN50  	TW 50 INDEX  	   1.6366
2015-03-19	TWN50  	TW 50 INDEX  	   0.9273
2015-03-20	TWN50  	TW 50 INDEX  	   0.1489
2015-03-23	TWN50  	TW 50 INDEX  	   0.1845
2015-03-24	TWN50  	TW 50 INDEX  	  -0.4876
2015-03-25	TWN50  	TW 50 INDEX  	  -0.6132
2015-03-26	TWN50  	TW 50 INDEX  	  -0.8643
2015-03-27	TWN50  	TW 50 INDEX  	  -1.7450
2015-03-30	TWN50  	TW 50 INDEX  	   0.4851
2015-03-31	TWN50  	TW 50 INDEX  	   0.7275
2015-04-01	TWN50  	TW 50 INDEX  	  -0.8950
2015-04-02	TWN50  	TW 50 INDEX  	   1.2187
2015-04-07	TWN50  	TW 50 INDEX  	   0.2701
2015-04-08	TWN50  	TW 50 INDEX  	  -0.9657
2015-04-09	TWN50  	TW 50 INDEX  	   0.1287
2015-04-10	TWN50  	TW 50 INDEX  	   0.8342
2015-04-13	TWN50  	TW 50 INDEX  	   0.3613
2015-04-14	TWN50  	TW 50 INDEX  	  -0.5985
2015-04-15	TWN50  	TW 50 INDEX  	  -1.1837
2015-04-16	TWN50  	TW 50 INDEX  	   1.7319
2015-04-17	TWN50  	TW 50 INDEX  	  -1.2452
2015-04-20	TWN50  	TW 50 INDEX  	   0.0354
2015-04-21	TWN50  	TW 50 INDEX  	   0.1024
2015-04-22	TWN50  	TW 50 INDEX  	   0.8373
2015-04-23	TWN50  	TW 50 INDEX  	   2.3521
2015-04-24	TWN50  	TW 50 INDEX  	   1.7893
2015-04-27	TWN50  	TW 50 INDEX  	   0.4747
2015-04-28	TWN50  	TW 50 INDEX  	  -0.2746
2015-04-29	TWN50  	TW 50 INDEX  	  -1.4903
2015-04-30	TWN50  	TW 50 INDEX  	  -0.7235
2015-05-04	TWN50  	TW 50 INDEX  	   0.4903
2015-05-05	TWN50  	TW 50 INDEX  	  -0.2071
2015-05-06	TWN50  	TW 50 INDEX  	  -0.1907
2015-05-07	TWN50  	TW 50 INDEX  	  -1.2185
2015-05-08	TWN50  	TW 50 INDEX  	   0.1503
2015-05-11	TWN50  	TW 50 INDEX  	   0.2200
2015-05-12	TWN50  	TW 50 INDEX  	   0.0570
2015-05-13	TWN50  	TW 50 INDEX  	   0.6272
2015-05-14	TWN50  	TW 50 INDEX  	  -1.2861
2015-05-15	TWN50  	TW 50 INDEX  	  -0.0556
2015-05-18	TWN50  	TW 50 INDEX  	   0.6532
2015-05-19	TWN50  	TW 50 INDEX  	   1.0988
2015-05-20	TWN50  	TW 50 INDEX  	  -0.3691
2015-05-21	TWN50  	TW 50 INDEX  	  -1.1068
2015-05-22	TWN50  	TW 50 INDEX  	   0.7291
2015-05-25	TWN50  	TW 50 INDEX  	   0.2275
2015-05-26	TWN50  	TW 50 INDEX  	   0.1946
2015-05-27	TWN50  	TW 50 INDEX  	   0.2094
2015-05-28	TWN50  	TW 50 INDEX  	   0.2468
2015-05-29	TWN50  	TW 50 INDEX  	  -0.2480
2015-06-01	TWN50  	TW 50 INDEX  	  -1.0496
2015-06-02	TWN50  	TW 50 INDEX  	  -0.1290
2015-06-03	TWN50  	TW 50 INDEX  	  -0.4342
2015-06-04	TWN50  	TW 50 INDEX  	  -2.0444
2015-06-05	TWN50  	TW 50 INDEX  	  -0.0766
2015-06-08	TWN50  	TW 50 INDEX  	   0.2544
2015-06-09	TWN50  	TW 50 INDEX  	  -1.1806
2015-06-10	TWN50  	TW 50 INDEX  	   0.8985
2015-06-11	TWN50  	TW 50 INDEX  	   0.4233
2015-06-12	TWN50  	TW 50 INDEX  	   0.1508
2015-06-15	TWN50  	TW 50 INDEX  	  -0.5586
2015-06-16	TWN50  	TW 50 INDEX  	  -0.3288
2015-06-17	TWN50  	TW 50 INDEX  	  -0.1559
2015-06-18	TWN50  	TW 50 INDEX  	  -0.0244
2015-06-22	TWN50  	TW 50 INDEX  	   1.4975
2015-06-23	TWN50  	TW 50 INDEX  	   0.5957
2015-06-24	TWN50  	TW 50 INDEX  	   0.1628
2015-06-25	TWN50  	TW 50 INDEX  	   0.9514
2015-06-26	TWN50  	TW 50 INDEX  	  -0.1829
2015-06-29	TWN50  	TW 50 INDEX  	  -2.7490
2015-06-30	TWN50  	TW 50 INDEX  	   0.9427
2015-07-01	TWN50  	TW 50 INDEX  	   0.4211
2015-07-02	TWN50  	TW 50 INDEX  	   0.0761
2015-07-03	TWN50  	TW 50 INDEX  	  -0.0929
